"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"15-May-2024","EQ","430.75","433.25","426.75","429.70","428.25","427.80","429.40","499.70","399.35","75,65,080","3,24,84,56,112.70","1,44,013"
"14-May-2024","EQ","430.50","433.30","428.55","431.85","429.60","429.70","430.33","499.70","399.35","1,10,00,103","4,73,36,93,443.00","1,72,146"
"13-May-2024","EQ","433.25","435.45","429.50","433.35","431.65","431.85","431.83","499.70","399.35","73,02,959","3,15,36,50,963.45","1,52,030"
"10-May-2024","EQ","426.50","436.35","426.50","425.10","433.85","433.35","433.20","499.70","399.35","1,39,85,963","6,05,87,06,127.20","1,86,451"
"09-May-2024","EQ","440.05","441.50","423.35","441.00","427.10","425.10","429.30","499.70","399.35","2,34,12,609","10,05,09,40,808.25","3,26,895"
"08-May-2024","EQ","441.25","444.70","438.20","440.35","441.00","441.00","441.33","499.70","399.35","1,05,11,646","4,63,91,19,798.50","1,40,409"
"07-May-2024","EQ","436.90","446.00","435.20","434.75","441.00","440.35","442.16","499.70","399.35","2,59,68,921","11,48,24,44,468.75","2,56,621"
"06-May-2024","EQ","438.00","440.45","433.35","436.45","434.95","434.75","435.73","499.70","399.35","1,03,55,056","4,51,19,99,548.95","1,83,306"
"03-May-2024","EQ","440.05","440.05","431.35","439.00","436.00","436.45","435.75","499.70","399.35","2,29,04,276","9,98,04,73,814.90","3,01,064"
"02-May-2024","EQ","436.00","442.60","434.85","435.65","439.45","439.00","439.02","499.70","399.35","2,32,28,909","10,19,79,60,968.55","4,13,344"
"30-Apr-2024","EQ","439.95","440.50","435.10","438.20","435.35","435.65","438.57","499.70","399.35","1,20,64,043","5,29,09,43,493.35","1,31,063"
"29-Apr-2024","EQ","442.00","442.45","434.60","440.00","438.00","438.20","437.73","499.70","399.35","1,16,27,882","5,08,99,15,581.05","1,89,919"
"26-Apr-2024","EQ","439.25","443.30","436.40","437.55","440.00","440.00","439.66","499.70","399.35","1,47,73,975","6,49,55,67,398.20","2,02,318"
"25-Apr-2024","EQ","431.00","438.30","429.00","428.90","437.80","437.55","434.52","499.70","399.35","2,92,11,997","12,69,32,03,504.00","2,70,594"
"24-Apr-2024","EQ","429.25","430.80","428.30","429.20","429.40","428.90","429.73","499.70","399.35","58,45,170","2,51,18,18,372.50","96,245"
"23-Apr-2024","EQ","425.30","430.50","425.10","425.30","428.70","429.20","428.84","499.70","399.35","1,20,21,404","5,15,52,32,246.00","1,94,302"
"22-Apr-2024","EQ","427.00","427.60","423.35","424.75","425.80","425.30","424.75","499.70","399.35","71,12,139","3,02,08,60,842.30","1,24,105"
"19-Apr-2024","EQ","418.00","426.25","416.00","418.85","424.00","424.75","423.64","499.70","392.90","1,65,82,634","7,02,50,82,961.80","2,04,429"
"18-Apr-2024","EQ","426.00","426.90","417.65","425.90","419.75","418.85","421.58","499.70","392.90","2,13,12,388","8,98,48,44,459.55","2,04,523"
"16-Apr-2024","EQ","423.25","427.00","423.20","425.90","426.45","425.90","425.24","499.70","392.90","99,73,638","4,24,11,46,046.55","1,22,310"
"15-Apr-2024","EQ","428.00","429.15","422.90","430.10","425.60","425.90","426.01","499.70","392.90","87,46,243","3,72,59,90,666.80","1,64,057"
"12-Apr-2024","EQ","435.00","435.75","428.30","436.95","430.50","430.10","431.16","499.70","384.75","1,80,88,372","7,79,90,28,304.50","2,89,969"
"10-Apr-2024","EQ","428.30","437.80","425.75","426.35","436.00","436.95","433.00","499.70","384.75","1,40,08,124","6,06,54,76,490.20","1,76,163"
